pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-A52650764	ingenol	13	5	2	8	-0.39175384004528707	-0.3319999873638153	-13.47306814696682	122.69809676726929	1	13	-0.10980665961365482	0.38461538461538464
BRD-A58280226	Y-27632	13	7	2	6	0.10802633243684587	0.0100318696349859	-15.643673844383267	122.69809676726929	1	13	-0.12749728199986507	0.5384615384615384
BRD-K12502280	TG-101348	13	5	2	8	-0.2369004373367016	-0.4155056476593017	-17.152048642516007	122.69809676726929	1	13	-0.1397906658246671	0.38461538461538464
BRD-K88510285	bortezomib	13	5	2	8	0.05979577910441617	-0.1344774812459945	-18.925835061300575	122.69809676726929	1	13	-0.15424717709516414	0.38461538461538464
BRD-A79768653	sirolimus	13	7	2	6	0.08005768519181469	0.2752500176429748	-23.51470960685202	122.69809676726929	1	13	-0.1916468977628409	0.5384615384615384
BRD-K90382497	GW-843682X	13	9	2	4	-0.09525384238133067	0.3348999917507171	-27.632312638569303	122.69809676726929	1	13	-0.22520571521970376	0.6923076923076923
BRD-K00088062	cyanoquinoline-11	13	5	2	8	-0.32539635323561156	-0.3103340268135071	-27.741442175152446	122.69809676726929	1	13	-0.2260951302918066	0.38461538461538464
BRD-K40892394	AR-C133057XX	13	7	2	6	-0.26568076473016006	0.017300009727478	-32.84055632315848	122.69809676726929	1	13	-0.2676533474308867	0.5384615384615384
BRD-K93725829	ERK-inhibitor-11E	13	5	2	8	-0.0728319906271421	-0.2674946188926697	-32.85405486839124	122.69809676726929	1	13	-0.2677633617309321	0.38461538461538464
BRD-K08417745	SID-26681509	13	6	2	7	-0.22451569942327648	-0.1709443628787994	-33.917000076798466	122.69809676726929	1	13	-0.27642645624024137	0.46153846153846156
BRD-K81651477	parthenolide	13	5	2	8	-0.4398730809871967	-0.4299499988555908	-36.69306922045927	122.69809676726929	1	13	-0.29905165758241364	0.38461538461538464
BRD-K69328504	L-690488	13	6	2	7	-0.08584359402839954	-0.1001239866018295	-37.15583173868496	122.69809676726929	1	13	-0.30282321175006666	0.46153846153846156
BRD-K73395020	ARP-101	13	6	2	7	-0.12351538240909578	-0.0540499985218048	-44.94097599102081	122.69809676726929	1	13	-0.3662728043472731	0.46153846153846156
BRD-K91623615	ABT-751	13	3	2	10	-0.45027461647987366	-0.22625133395195	-55.25228468266137	122.69809676726929	1	13	-0.45031085353721934	0.23076923076923078
