pert_id	pert_iname	n_genes	n_positive_mr_effect	n_strong_precision_match	mean_mr_lincs_effect	median_mr_lincs_effect	sum_mr_lincs_effect	mean_precision_match	median_precision_match	sum_precision_match	mean_lincs_z	mean_mr_ivw_beta	median_mr_ivw_beta	fraction_positive_mr_effect	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K01877528	TL-HRAS-61	13	5	4	-0.3543476883071313	-0.5028596793745655	-4.606519947992707	-2.4716924473717703	-4.3196190664654885	-32.132001815833014	0.39747308366573775	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K02822062	CT-200783	13	2	1	-0.4205747483686403	-0.1634486877188477	-5.467471728792324	-2.5032754943645736	-1.4234570047172839	-32.54258142673946	0.32551387410897475	0.46811178153786825	0.8048867209111468	0.15384615384615385	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A30655177	LFM-A13	13	2	0	-0.3180134832020563	-0.34706252259001336	-4.134175281626732	-2.506392701034703	-3.142034983161361	-32.58310511345114	0.12869356372035465	0.46811178153786825	0.8048867209111468	0.15384615384615385	Preclinical	Bruton's tyrosine kinase (BTK) inhibitor	BTK	not annotated		Broad Repurposing Hub	
BRD-A28105619	cucurbitacin-i	13	3	2	-0.2820030991963096	-0.21307235298175037	-3.6660402895520248	-2.5542210458687666	-1.682831778168621	-33.204873596293965	-0.1838597426047692	0.46811178153786825	0.8048867209111468	0.23076923076923078	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K23363278	CYT-997	13	3	2	-0.4037520498602696	-0.5650023506884542	-5.2487766481835045	-2.642986926575519	-3.2579120391129015	-34.358830045481746	0.13169615887678587	0.46811178153786825	0.8048867209111468	0.23076923076923078	Phase 2	tubulin polymerization inhibitor	TUBB	not annotated		Broad Repurposing Hub	
BRD-K74148702	curcumin	13	4	4	-0.18983254244972145	-0.20361767692007132	-2.467823051846379	-2.652929981860616	-1.750580291790719	-34.488089764188004	0.03247412523398033	0.46811178153786825	0.8048867209111468	0.3076923076923077	Launched	cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor	APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CHRM3|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH	not annotated		Broad Repurposing Hub	
BRD-K21672174	Ro-28-1675	13	5	5	-0.6278515461678847	-0.4465224684465472	-8.162070100182502	-2.6709660737139176	-3.1151433856076163	-34.72255895828093	0.5728153815636269	0.46811178153786825	0.8048867209111468	0.38461538461538464	Preclinical	glucokinase activator	GCK	not annotated		Broad Repurposing Hub	
BRD-A12230535	nutlin-3	13	2	1	-0.45307762899955956	-0.4082063557790795	-5.890009176994274	-2.725997447086355	-3.6955838407301056	-35.43796681212262	0.6180921804446441	0.46811178153786825	0.8048867209111468	0.15384615384615385	Preclinical	MDM inhibitor	MDM2|TP53	not annotated		Broad Repurposing Hub	
BRD-A15079084	phorbol-12-myristate-13-acetate	13	3	2	-0.5293748797143516	-0.267964624318491	-6.88187343628657	-2.7309036338273964	-2.611524769829158	-35.501747239756156	0.4129524093407851	0.46811178153786825	0.8048867209111468	0.23076923076923078	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K86191271	cytosporone-b	13	6	4	-0.6088493493242344	-0.017193824079736623	-7.915041541215047	-2.7484269749125954	-0.09567485498232628	-35.72955067386374	0.7937863222681559	0.46811178153786825	0.8048867209111468	0.46153846153846156	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K01976263	emetine	13	5	2	-0.5022854226006608	-0.3101436499920803	-6.52971049380859	-2.753616728507143	-2.4598321809710333	-35.79701747059286	0.5125384846558938	0.46811178153786825	0.8048867209111468	0.38461538461538464	Phase 2	protein synthesis inhibitor	RPS2	not annotated		Broad Repurposing Hub	
BRD-K78126613	menadione	13	5	2	-0.5146206947037759	-0.3373665814205763	-6.690069031149086	-2.8007686903723847	-1.4678984277638905	-36.409992974841	0.5992807562534626	0.46811178153786825	0.8048867209111468	0.38461538461538464	Launched	mitochondrial DNA polymerase inhibitor|phosphatase inhibitor	AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1	gastroenterology|neurology/psychiatry|dermatology|rheumatology	ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis	Broad Repurposing Hub	
BRD-K76703230	YM-155	13	3	0	-0.44410222101042507	-0.3980262609609171	-5.773328873135526	-2.8040188422230012	-2.136761379006309	-36.452244948899015	0.39315770079310125	0.46811178153786825	0.8048867209111468	0.23076923076923078	Phase 2	survivin inhibitor	BIRC5	not annotated		Broad Repurposing Hub	
BRD-K33272502	DG-041	13	7	5	-0.3809943135607401	0.11568390627661534	-4.9529260762896214	-2.816430094335609	0.5997115962367268	-36.61359122636292	0.5569884799993955	0.46811178153786825	0.8048867209111468	0.5384615384615384	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A75817871	blebbistatin	13	5	1	-0.48950970175684516	-0.23402111549968085	-6.363626122838987	-2.8168300738872123	-2.0380646719096323	-36.61879096053376	0.4339153892718829	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K17140735	SCH-79797	13	5	4	-0.20100180610435803	-0.7212001207696794	-2.6130234793566545	-2.9445795319897994	-4.274246539057606	-38.27953391586739	0.1547769237882816	0.46811178153786825	0.8048867209111468	0.38461538461538464	Preclinical/tool	PAR1 antagonist; reported antibacterial/cytotoxic activity	F2R/PAR1; additional off-target biology reported	thrombosis/infectious disease tool		manual: chemical biology annotation	Mixed/negative weighted match; not prioritized except as a comparator.
BRD-K04887706	AKT-inhibitor-1-2	13	5	4	-0.49357507026523145	-0.26677437747826543	-6.416475913448009	-2.9448021056514766	-0.8637840899453192	-38.2824273734692	0.679832303753266	0.46811178153786825	0.8048867209111468	0.38461538461538464	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A41451487	PK-11195	13	4	3	-0.4847436631307154	-0.4148420464487281	-6.3016676206993	-2.996408359315895	-2.847276894296816	-38.95330867110663	0.49530381422776437	0.46811178153786825	0.8048867209111468	0.3076923076923077	Phase 1	benzodiazepine receptor antagonist	TSPO	not annotated		Broad Repurposing Hub	
BRD-K57080016	selumetinib	13	6	3	-0.3699678488516583	-0.1636223466984602	-4.809582035071558	-3.0796130078577164	-1.5946276953062597	-40.03496910215031	0.4924461658184345	0.46811178153786825	0.8048867209111468	0.46153846153846156	Phase 3	MEK inhibitor	MAP2K1	not annotated		Broad Repurposing Hub	
BRD-A77216878	manumycin-a	13	6	5	-0.18219113590114697	-0.8220666178789968	-2.3684847667149107	-3.4113705296242602	-3.394565945878993	-44.347816885115385	0.2545153727898231	0.46811178153786825	0.8048867209111468	0.46153846153846156	Preclinical/tool	farnesyltransferase/Ras pathway inhibitor	FNTA|FNTB; Ras pathway	oncology/tool compound		manual: chemical biology annotation	Several strong pushes but overall weighted opposition; useful as a Ras/isoprenylation comparator.
BRD-K64970062	BRD-K64970062	13	3	2	-0.5719231926827569	-0.4764091731583326	-7.4350015048758396	-3.4897869513847164	-3.7016194723105853	-45.367230368001316	0.4228359048183147	0.46811178153786825	0.8048867209111468	0.23076923076923078	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K83213911	PF-750	13	3	3	-0.4648929830697451	-0.6052296220922354	-6.043608779906686	-3.5415567299118362	-2.03121909457172	-46.04023748885387	0.34689123584673953	0.46811178153786825	0.8048867209111468	0.23076923076923078	Preclinical	FAAH inhibitor	FAAH	not annotated		Broad Repurposing Hub	
