pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	protective_expression_direction	protective_direction_label	max_h4	mean_h4	n_coloc	total_weight	max_gwas_z_abs	mr_ivw_beta	mr_ivw_se	mr_ivw_p	protective_push_z	weighted_protective_push	pushes_protective	strong_push	opposes_protective	gene_weight_fraction
BRD-K03618428	PP-110	CTSH	0.9257999658584596	0.9257999658584596	1	1.0	increase	0.979826373	0.954322996	2	2.0	5.595764705882353	-0.6531917505468305	0.1164129687449566	2.0117491756135243e-08	0.9257999658584596	1.8515999317169192	True	False	False	0.08333333333333333
BRD-K03618428	PP-110	GSTK1	0.8568500280380249	0.8568500280380249	1	1.0	increase	0.857402737	0.857402737	1	1.0	5.481558935361216	-0.4262663954299771	0.1026084942460725	3.262858661820401e-05	0.8568500280380249	0.8568500280380249	True	False	False	0.041666666666666664
BRD-K03618428	PP-110	ZYX	-0.4383000135421753	-0.4383000135421753	1	-1.0	decrease	0.999998542	0.9999970725	2	2.0	6.876576576576576	0.8048867209111468	0.1104578798294652	3.173557474406893e-13	0.4383000135421753	0.8766000270843506	True	False	False	0.08333333333333333
BRD-K03618428	PP-110	USP6NL	-0.2119500041007995	-0.2119500041007995	1	-1.0	decrease	0.986739805	0.984928451	2	2.0	5.991691842900303	0.9291301181013883	0.1499155980473011	5.72985423972819e-10	0.2119500041007995	0.423900008201599	True	False	False	0.08333333333333333
BRD-K03618428	PP-110	RABEP1	-0.1481999903917312	-0.1481999903917312	1	-1.0	decrease	0.971720589	0.906779892	2	2.0	5.771982942430704	0.7555586841493029	0.1376531430306971	4.045385255710982e-08	0.1481999903917312	0.2963999807834624	True	False	False	0.08333333333333333
BRD-K03618428	PP-110	BIN1	0.0130000002682209	0.0130000002682209	1	-1.0	decrease	0.999914292	0.9982065285	4	4.0	5.939106382978723	1.0	0.1285664880564894	7.363544666516711e-15	-0.0130000002682209	-0.0520000010728836	False	False	True	0.16666666666666666
BRD-K03618428	PP-110	PLEKHA1	0.2758499979972839	0.2758499979972839	1	-1.0	decrease	0.973750604	0.9736530115	2	2.0	8.013560830860534	0.9718639565544818	0.121077829830582	1.0007201221865392e-15	-0.2758499979972839	-0.5516999959945678	False	False	True	0.08333333333333333
BRD-K03618428	PP-110	PSMC3	-0.4036499857902527	-0.4036499857902527	1	1.0	increase	0.827476962	0.827476962	1	1.0	2.202657142857143	-0.6192485162211612	0.3088438194030099	0.0449572810782776	-0.4036499857902527	-0.4036499857902527	False	False	True	0.041666666666666664
BRD-K03618428	PP-110	EPHA1	-0.6664000153541565	-0.6664000153541565	1	1.0	increase	0.857755717	0.857755717	1	1.0	3.7814961832061065	-0.277405633275953	0.118801038386382	0.019541130467517	-0.6664000153541565	-0.6664000153541565	False	False	True	0.041666666666666664
BRD-K03618428	PP-110	PICALM	0.6664999723434448	0.6664999723434448	1	-1.0	decrease	0.941694681	0.929841757	2	2.0	4.090147208121828	0.9858096206963995	0.2421713500298872	4.686983137973752e-05	-0.6664999723434448	-1.3329999446868896	False	False	True	0.08333333333333333
