pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-K56301217	ABT-737	GSTK1	-2.0057499408721924	-2.0057499408721924	1
BRD-K56301217	ABT-737	PICALM	-0.23945000767707825	-0.23945000767707825	1
BRD-K56301217	ABT-737	PLEKHA1	-2.9323501586914062	-2.9323501586914062	1
BRD-K56301217	ABT-737	PSMC3	-0.6631499528884888	-0.6631499528884888	1
BRD-K56301217	ABT-737	RABEP1	3.6754002571105957	3.6754002571105957	1
BRD-K56301217	ABT-737	RHOH	1.5448499917984009	1.5448499917984009	1
BRD-K56301217	ABT-737	USP6NL	0.18869999051094055	0.18869999051094055	1
BRD-K56301217	ABT-737	ZYX	-2.964400053024292	-2.964400053024292	1
BRD-K91623615	ABT-751	BIN1	1.516758918762207	1.516758918762207	1
BRD-K91623615	ABT-751	CASP2	0.11976316571235657	0.11976316571235657	1
BRD-K91623615	ABT-751	CASS4	0.22625133395195007	0.22625133395195007	1
BRD-K91623615	ABT-751	CTSH	0.8527138829231262	0.8527138829231262	1
BRD-K91623615	ABT-751	EPHA1	-0.16662278771400452	-0.16662278771400452	1
BRD-K91623615	ABT-751	GSTK1	-1.4962440729141235	-1.4962440729141235	1
BRD-K91623615	ABT-751	PICALM	1.721699833869934	1.721699833869934	1
BRD-K91623615	ABT-751	PLEKHA1	1.3936653137207031	1.3936653137207031	1
BRD-K91623615	ABT-751	PSMC3	-0.5521714687347412	-0.5521714687347412	1
BRD-K91623615	ABT-751	RABEP1	-1.0213251113891602	-1.0213251113891602	1
BRD-K91623615	ABT-751	RHOH	1.7343720197677612	1.7343720197677612	1
BRD-K91623615	ABT-751	USP6NL	-1.2286343574523926	-1.2286343574523926	1
BRD-K91623615	ABT-751	ZYX	0.028694450855255127	0.028694450855255127	1
BRD-K93176058	AC-55649	BIN1	0.22175800800323486	0.22175800800323486	1
BRD-K93176058	AC-55649	CASP2	0.31423112750053406	0.31423112750053406	1
BRD-K93176058	AC-55649	CASS4	0.25861838459968567	0.25861838459968567	1
BRD-K93176058	AC-55649	CTSH	1.020438551902771	1.020438551902771	1
BRD-K93176058	AC-55649	EPHA1	0.5374511480331421	0.5374511480331421	1
BRD-K93176058	AC-55649	GSTK1	-0.5211539268493652	-0.5211539268493652	1
BRD-K93176058	AC-55649	PICALM	-0.38266703486442566	-0.38266703486442566	1
BRD-K93176058	AC-55649	PLEKHA1	-0.5159896016120911	-0.5159896016120911	1
BRD-K93176058	AC-55649	PSMC3	-0.8586859107017517	-0.8586859107017517	1
BRD-K93176058	AC-55649	RABEP1	0.20323394238948822	0.20323394238948822	1
BRD-K93176058	AC-55649	RHOH	-2.125958204269409	-2.125958204269409	1
BRD-K93176058	AC-55649	USP6NL	2.22145938873291	2.22145938873291	1
BRD-K93176058	AC-55649	ZYX	-0.9196263551712036	-0.9196263551712036	1
BRD-K00615600	AG-14361	BIN1	0.08928240835666656	0.08928240835666656	1
BRD-K00615600	AG-14361	CASP2	-0.24043692648410797	-0.24043692648410797	1
BRD-K00615600	AG-14361	CASS4	-1.1115050315856934	-1.1115050315856934	1
BRD-K00615600	AG-14361	CTSH	0.3636091649532318	0.3636091649532318	1
BRD-K00615600	AG-14361	EPHA1	-0.20529121160507202	-0.20529121160507202	1
BRD-K00615600	AG-14361	GSTK1	0.44536125659942627	0.44536125659942627	1
BRD-K00615600	AG-14361	PICALM	-1.524045467376709	-1.524045467376709	1
BRD-K00615600	AG-14361	PLEKHA1	0.2221508026123047	0.2221508026123047	1
BRD-K00615600	AG-14361	PSMC3	-0.38124141097068787	-0.38124141097068787	1
BRD-K00615600	AG-14361	RABEP1	-0.0226781964302063	-0.0226781964302063	1
BRD-K00615600	AG-14361	RHOH	-0.18542511761188507	-0.18542511761188507	1
BRD-K00615600	AG-14361	USP6NL	-0.4973474144935608	-0.4973474144935608	1
BRD-K00615600	AG-14361	ZYX	-0.21582941710948944	-0.21582941710948944	1
BRD-K32536677	AGK-2	BIN1	-0.3829708397388458	-0.3829708397388458	1
BRD-K32536677	AGK-2	CASP2	-0.30884116888046265	-0.30884116888046265	1
BRD-K32536677	AGK-2	CASS4	0.8819243311882019	0.8819243311882019	1
BRD-K32536677	AGK-2	CTSH	0.17788080871105194	0.17788080871105194	1
BRD-K32536677	AGK-2	EPHA1	0.7025468349456787	0.7025468349456787	1
BRD-K32536677	AGK-2	GSTK1	1.1211575269699097	1.1211575269699097	1
BRD-K32536677	AGK-2	PICALM	0.24678698182106018	0.24678698182106018	1
BRD-K32536677	AGK-2	PLEKHA1	0.11275438964366913	0.11275438964366913	1
BRD-K32536677	AGK-2	PSMC3	0.6224125027656555	0.6224125027656555	1
BRD-K32536677	AGK-2	RABEP1	0.9033457636833191	0.9033457636833191	1
BRD-K32536677	AGK-2	RHOH	0.21492999792099	0.21492999792099	1
BRD-K32536677	AGK-2	USP6NL	0.17846937477588654	0.17846937477588654	1
BRD-K32536677	AGK-2	ZYX	-0.509060800075531	-0.509060800075531	1
BRD-A67373739	AICA-ribonucleotide	BIN1	-0.26545000076293945	-0.26545000076293945	1
BRD-A67373739	AICA-ribonucleotide	CASP2	-0.0800500214099884	-0.0800500214099884	1
BRD-A67373739	AICA-ribonucleotide	CASS4	0.38405001163482666	0.38405001163482666	1
BRD-A67373739	AICA-ribonucleotide	CTSH	0.7819000482559204	0.7819000482559204	1
BRD-A67373739	AICA-ribonucleotide	EPHA1	-0.012149997055530548	-0.012149997055530548	1
BRD-A67373739	AICA-ribonucleotide	GSTK1	-0.05380000174045563	-0.05380000174045563	1
BRD-A67373739	AICA-ribonucleotide	PICALM	-0.4086500108242035	-0.4086500108242035	1
BRD-A67373739	AICA-ribonucleotide	PLEKHA1	0.2174999713897705	0.2174999713897705	1
BRD-A67373739	AICA-ribonucleotide	PSMC3	0.17194999754428864	0.17194999754428864	1
BRD-A67373739	AICA-ribonucleotide	RABEP1	-0.11260000616312027	-0.11260000616312027	1
BRD-A67373739	AICA-ribonucleotide	RHOH	0.11269998550415039	0.11269998550415039	1
BRD-A67373739	AICA-ribonucleotide	USP6NL	-0.03515000641345978	-0.03515000641345978	1
BRD-A67373739	AICA-ribonucleotide	ZYX	0.6894499659538269	0.6894499659538269	1
BRD-K04887706	AKT-inhibitor-1-2	BIN1	-0.5729527473449707	-0.5729527473449707	1
BRD-K04887706	AKT-inhibitor-1-2	CASP2	0.12780071794986725	0.12780071794986725	1
BRD-K04887706	AKT-inhibitor-1-2	CASS4	0.9931478500366211	0.9931478500366211	1
BRD-K04887706	AKT-inhibitor-1-2	CTSH	-0.6733923554420471	-0.6733923554420471	1
BRD-K04887706	AKT-inhibitor-1-2	EPHA1	1.474857211112976	1.474857211112976	1
BRD-K04887706	AKT-inhibitor-1-2	GSTK1	0.906609058380127	0.906609058380127	1
BRD-K04887706	AKT-inhibitor-1-2	PICALM	0.4115256667137146	0.4115256667137146	1
BRD-K04887706	AKT-inhibitor-1-2	PLEKHA1	-0.9345365762710571	-0.9345365762710571	1
BRD-K04887706	AKT-inhibitor-1-2	PSMC3	-0.43080341815948486	-0.43080341815948486	1
BRD-K04887706	AKT-inhibitor-1-2	RABEP1	1.5544599294662476	1.5544599294662476	1
BRD-K04887706	AKT-inhibitor-1-2	RHOH	0.6847328543663025	0.6847328543663025	1
BRD-K04887706	AKT-inhibitor-1-2	USP6NL	5.30020809173584	5.30020809173584	1
BRD-K04887706	AKT-inhibitor-1-2	ZYX	-0.003836333751678467	-0.003836333751678467	1
BRD-K28296557	AKT-inhibitor-IV	BIN1	-3.0251998901367188	-3.0251998901367188	1
BRD-K28296557	AKT-inhibitor-IV	CASP2	-2.0557498931884766	-2.0557498931884766	1
BRD-K28296557	AKT-inhibitor-IV	CASS4	3.2260000705718994	3.2260000705718994	1
BRD-K28296557	AKT-inhibitor-IV	CTSH	-1.0349500179290771	-1.0349500179290771	1
BRD-K28296557	AKT-inhibitor-IV	EPHA1	1.4039499759674072	1.4039499759674072	1
BRD-K28296557	AKT-inhibitor-IV	GSTK1	-0.1699499934911728	-0.1699499934911728	1
BRD-K28296557	AKT-inhibitor-IV	PICALM	0.593999981880188	0.593999981880188	1
BRD-K28296557	AKT-inhibitor-IV	PLEKHA1	3.0879998207092285	3.0879998207092285	1
BRD-K28296557	AKT-inhibitor-IV	PSMC3	0.6672500371932983	0.6672500371932983	1
BRD-K28296557	AKT-inhibitor-IV	RABEP1	0.41989997029304504	0.41989997029304504	1
BRD-K28296557	AKT-inhibitor-IV	RHOH	-0.6814999580383301	-0.6814999580383301	1
BRD-K28296557	AKT-inhibitor-IV	USP6NL	-0.4351000189781189	-0.4351000189781189	1
BRD-K28296557	AKT-inhibitor-IV	ZYX	1.1727499961853027	1.1727499961853027	1
BRD-K06854232	AM-580	BIN1	0.08406513184309006	0.08406513184309006	1
BRD-K06854232	AM-580	CASP2	-0.44330263137817383	-0.44330263137817383	1
BRD-K06854232	AM-580	CASS4	0.022259710356593132	0.022259710356593132	1
BRD-K06854232	AM-580	CTSH	0.5835824608802795	0.5835824608802795	1
BRD-K06854232	AM-580	EPHA1	0.9541876316070557	0.9541876316070557	1
BRD-K06854232	AM-580	GSTK1	0.5363836288452148	0.5363836288452148	1
BRD-K06854232	AM-580	PICALM	0.5605840682983398	0.5605840682983398	1
BRD-K06854232	AM-580	PLEKHA1	0.2233346700668335	0.2233346700668335	1
BRD-K06854232	AM-580	PSMC3	0.7483628988265991	0.7483628988265991	1
BRD-K06854232	AM-580	RABEP1	-0.21942412853240967	-0.21942412853240967	1
BRD-K06854232	AM-580	RHOH	-0.07195485383272171	-0.07195485383272171	1
BRD-K06854232	AM-580	USP6NL	2.195976734161377	2.195976734161377	1
