pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-A75817871	blebbistatin	USP6NL	-0.3639500141143799	-0.3639500141143799	1
BRD-A75817871	blebbistatin	ZYX	0.4825499951839447	0.4825499951839447	1
BRD-K01549188	bms	BIN1	0.768492678180337	0.71491739153862	12
BRD-K01549188	bms	CASP2	0.6393280078967413	0.2923533767461777	12
BRD-K01549188	bms	CASS4	-0.2087865819533666	-0.373241662979126	12
BRD-K01549188	bms	CTSH	-0.14436673807601133	-0.1716287061572075	12
BRD-K01549188	bms	EPHA1	-0.25938795258601505	-0.26292500644922256	12
BRD-K01549188	bms	GSTK1	0.04467833414673805	-0.049275003373622894	12
BRD-K01549188	bms	PICALM	0.0021648568411668143	0.1586899608373642	12
BRD-K01549188	bms	PLEKHA1	-0.23515364713966846	-0.18123332783579826	12
BRD-K01549188	bms	PSMC3	-0.08570315192143123	0.01945953071117401	12
BRD-K01549188	bms	RABEP1	0.13160267223914465	0.10290710628032684	12
BRD-K01549188	bms	RHOH	-0.05916020895044009	-0.0331585556268692	12
BRD-K01549188	bms	USP6NL	-0.24443680762002865	-0.2654999941587448	12
BRD-K01549188	bms	ZYX	-0.052428570886452995	0.027816668152809143	12
BRD-A07563059	bopindolol	BIN1	0.19380832836031914	-0.038750000298023224	12
BRD-A07563059	bopindolol	CASP2	0.16089999970669547	-0.06440000049769878	12
BRD-A07563059	bopindolol	CASS4	-0.2607166677092512	-0.45695000886917114	12
BRD-A07563059	bopindolol	CTSH	0.5900416858494282	0.45570001006126404	12
BRD-A07563059	bopindolol	EPHA1	-0.08435833267867565	0.19590000808238983	12
BRD-A07563059	bopindolol	GSTK1	-0.19177498769325516	-0.022949999663978815	12
BRD-A07563059	bopindolol	PICALM	-0.4345083374452467	-0.42384999990463257	12
BRD-A07563059	bopindolol	PLEKHA1	-0.11642500509818395	-0.3311000019311905	12
BRD-A07563059	bopindolol	PSMC3	-0.05966666589180628	-0.2898000031709671	12
BRD-A07563059	bopindolol	RABEP1	-0.09524166739235322	-0.3462499976158142	12
BRD-A07563059	bopindolol	RHOH	0.2569250006539126	0.20820000022649765	12
BRD-A07563059	bopindolol	USP6NL	0.4866583285232385	0.6587999761104584	12
BRD-A07563059	bopindolol	ZYX	-0.28349999284061295	-0.12034999579191208	12
BRD-K50691590	bortezomib	BIN1	-0.3470406342530623	0.0	32
BRD-K88510285	bortezomib	BIN1	0.5885457532673046	0.7760274410247803	29
BRD-K50691590	bortezomib	CASP2	-0.8065406181849539	0.0	32
BRD-K88510285	bortezomib	CASP2	0.3802043037681744	0.5834345817565918	29
BRD-K50691590	bortezomib	CASS4	0.6968906167894602	0.0	32
BRD-K88510285	bortezomib	CASS4	0.8795240475185986	0.7767448425292969	29
BRD-K50691590	bortezomib	CTSH	-0.4988531222224992	0.0	32
BRD-K88510285	bortezomib	CTSH	-0.79226504420412	-0.8078415393829346	29
BRD-K50691590	bortezomib	EPHA1	0.5543937494512647	0.0	32
BRD-K88510285	bortezomib	EPHA1	-0.12083138602560964	0.08395833522081375	29
BRD-K50691590	bortezomib	GSTK1	-0.32411250146105886	0.0	32
BRD-K88510285	bortezomib	GSTK1	-1.2414352278193008	-1.076103925704956	29
BRD-K50691590	bortezomib	PICALM	-0.16748749830003362	0.0	32
BRD-K88510285	bortezomib	PICALM	-0.3204640322204294	-0.07069999724626541	29
BRD-K50691590	bortezomib	PLEKHA1	1.2245593753177673	0.0	32
BRD-K88510285	bortezomib	PLEKHA1	0.9105038030779568	0.44855237007141113	29
BRD-K50691590	bortezomib	PSMC3	-0.055765624390915036	0.0	32
BRD-K88510285	bortezomib	PSMC3	1.3387425392866135	1.489400029182434	29
BRD-K50691590	bortezomib	RABEP1	0.4362656158627942	0.0	32
BRD-K88510285	bortezomib	RABEP1	0.4526439294347475	0.3075628876686096	29
BRD-K50691590	bortezomib	RHOH	-0.16134375566616654	0.0	32
BRD-K88510285	bortezomib	RHOH	-0.32394437080827254	-0.32120001316070557	29
BRD-K50691590	bortezomib	USP6NL	0.3246437474153936	0.0	32
BRD-K88510285	bortezomib	USP6NL	-0.9723778373465456	-1.0091307163238525	29
BRD-K50691590	bortezomib	ZYX	-0.6439281303901225	-0.18904999643564224	32
