gene_name	n_coloc	max_h4	mean_h4	max_gwas_z_abs	protective_score	total_weight	mean_mr_wald_beta	median_mr_wald_beta	mr_ivw_beta	mr_ivw_se	mr_n	mr_ivw_z	mr_ivw_p	protective_expression_direction	protective_direction_label	abs_protective_score
RABEP1	2	0.971720589	0.9067798920000001	5.771982942430704	-2.0	2.0	0.7577740780136271	0.7577740780136271	0.7555586841493029	0.13765314303069717	2	5.488858935685983	4.045385255710982e-08	-1.0	decrease	2.0
PICALM	2	0.941694681	0.9298417569999999	4.090147208121828	-2.0	2.0	0.9860404910153036	0.9860404910153036	0.9858096206963997	0.24217135002988724	2	4.070711174442135	4.686983137973752e-05	-1.0	decrease	2.0
RP11-343H5.4	3	0.933784472	0.8839061646666666	3.971206496519722	-3.0	3.0	1.0	1.0	1.0	0.20686165007590612	3	4.834148812179824	1.337165344583155e-06	-1.0	decrease	3.0
AC009473.1	1	0.928546247	0.928546247	2.4926117473217584	1.0	1.0	-0.39861848221895096	-0.39861848221895096	-0.398618482218951	0.22238004632675004	1	-1.7925101141189992	0.07305129051361592	1.0	increase	1.0
GPR141	3	0.914047495	0.8767093886666667	4.59919512195122	-1.0	3.0	0.09626905697299308	0.043950174831529285	-0.020629634992096243	0.023791226846615308	3	-0.8671110205916576	0.38588118282018113	-1.0	decrease	1.0
ZNF232-AS1	2	0.899189128	0.889389535	6.214176776429809	-2.0	2.0	0.9016230078595677	0.9016230078595677	0.9016437242425476	0.14252660828770197	2	6.3261431326738915	2.513646707786238e-10	-1.0	decrease	2.0
RHOH	1	0.872358023	0.872358023	4.324598917846089	-1.0	1.0	0.7979161671425768	0.7979161671425768	0.7979161671425768	0.2544505355019307	1	3.1358399995842117	0.0017136266597810523	-1.0	decrease	1.0
EPHA1	1	0.857755717	0.857755717	3.7814961832061065	1.0	1.0	-0.277405633275953	-0.277405633275953	-0.277405633275953	0.11880103838638209	1	-2.3350438434193976	0.01954113046751706	1.0	increase	1.0
GSTK1	1	0.857402737	0.857402737	5.481558935361216	1.0	1.0	-0.42626639542997713	-0.42626639542997713	-0.42626639542997713	0.10260849424607253	1	-4.154299296193921	3.262858661820401e-05	1.0	increase	1.0
RP11-661A12.8	2	0.852289513	0.8422841409999999	3.500766016713092	2.0	2.0	-0.7856945822995647	-0.7856945822995647	-0.5969694701385027	0.1662341346571398	2	-3.591136509777372	0.00032923912272972905	1.0	increase	2.0
PSMC3	1	0.827476962	0.827476962	2.202657142857143	1.0	1.0	-0.6192485162211612	-0.6192485162211612	-0.6192485162211612	0.3088438194030099	1	-2.0050539376768444	0.04495728107827765	1.0	increase	1.0
