pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-A01145011	zebularine	13.0	-0.18878676716379003	0.04474577680110465	-4.219096877073982	1.2264143430840679e-05	2.4528286861681357e-05	499.4544604932867	0.18878676716379003	4.911362778990408	Preclinical	DNA methyltransferase inhibitor	CDA|DNMT1	not annotated		Broad Repurposing Hub	
BRD-K14696368	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	13.0	-0.35427486392080215	0.08444304249523972	-4.195429883294098	1.3617726658141527e-05	2.7235453316283053e-05	140.24011356621884	0.35427486392080215	4.865895387447455	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A34255068	rolipram	13.0	-0.17350291530914191	0.04147988320043613	-4.1828207295269735	1.4395721017472066e-05	2.8791442034944133e-05	581.199123064071	0.17350291530914191	4.84176657836717	Phase 3	phosphodiesterase inhibitor	not annotated	not annotated		Broad Repurposing Hub	
BRD-K53595844	phenoxazine	13.0	-0.22955322687233173	0.05535985140576412	-4.1465650835983	1.687501375437224e-05	3.375002750874448e-05	326.29481188502973	0.22955322687233173	4.77275586451498	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K01292756	pimozide	13.0	-0.2756599654487396	0.06665651217177883	-4.135529394912581	1.770686388601314e-05	3.541372777202628e-05	225.06855850407726	0.2756599654487396	4.751858351153551	Launched	dopamine receptor antagonist	CACNA1I|CALM1|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|KCNA10|KCNH2	neurology/psychiatry	Tourette's disorder	Broad Repurposing Hub	
BRD-A81936046	BRD-A81936046	13.0	-0.19393522081244696	0.04799274022784957	-4.040928271478627	2.6620020999051886e-05	5.324004199810377e-05	434.1590968513409	0.19393522081244696	4.574791606270481	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A31107743	brefeldin-a	13.0	-0.2683094884598374	0.06820746339960446	-3.9337262388413836	4.181952002886366e-05	8.363904005772732e-05	214.9493829384371	0.2683094884598374	4.378620955975836	Preclinical	protein synthesis inhibitor	ARF1|CYTH2	not annotated		Broad Repurposing Hub	
BRD-K09499853	KU-0060648	13.0	-0.18605854239246894	0.0486699614778035	-3.8228619202282106	6.595582804456379e-05	0.00013191165608912757	422.16088829831426	0.18605854239246894	4.18074682292635	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K99818283	PIK-90	13.0	-0.1476949140811378	0.0388640084102453	-3.800300589740573	7.226033777607286e-05	0.00014452067555214572	662.0713838023042	0.1476949140811378	4.141100012683002	Preclinical/tool	PI3K inhibitor	PIK3CA|PIK3CG|PIK3CD	inflammation/oncology tool		manual: chemical biology annotation	Relevant PI3K-family comparator with modest positive weighted match.
BRD-K04430056	7-nitroindazole	13.0	-0.569290527296889	0.1509706020154852	-3.770870087929412	8.133967514072299e-05	0.00016267935028144598	43.87480772855862	0.569290527296889	4.089697566439338	Preclinical	nitric oxide synthase inhibitor	NOS1|NOS2|NOS3	not annotated		Broad Repurposing Hub	
BRD-K35716340	BRD-K35716340	13.0	-0.2608059727509365	0.07100600360776703	-3.673012977770348	0.00011985365219495922	0.00023970730438991844	198.33979482958296	0.2608059727509365	3.9213487275548076	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K67778494	BRD-K67778494	13.0	-0.3676309153366996	0.10239533615001799	-3.590309179688503	0.00016514297684544846	0.0003302859536908969	95.37611933169289	0.3676309153366996	3.782139891134684	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K14888893	minoxidil	13.0	-0.2636796996682781	0.07423173487841132	-3.55211554869592	0.0001910735028717928	0.0003821470057435856	181.47666045997892	0.2636796996682781	3.718799534579918	Launched	KATP activator|Kir6 channel (KATP) activator|vasodilator	ABCC9|KCNJ1|KCNJ10|KCNJ11|KCNJ8|PTGS1	endocrinology	androgenetic alopecia	Broad Repurposing Hub	
